Configuration,Weight_ViT,Weight_Sec,Threshold,Benchmark Acc,Benchmark F1,Benchmark AUC,Smartphone Acc,Smartphone FPR,Combined Score
Ensemble 60/40,0.6,0.4,0.6,99.00%,0.9900,0.9901,90.0% (27/30),10.0%,94.50%
Ensemble 50/50,0.5,0.5,0.55,98.50%,0.9849,0.9888,90.0% (27/30),10.0%,94.25%
Ensemble 50/50,0.5,0.5,0.5,99.00%,0.9900,0.9888,86.7% (26/30),13.3%,92.83%
Ensemble 50/50,0.5,0.5,0.6,92.00%,0.9140,0.9888,93.3% (28/30),6.7%,92.67%
Ensemble 85/15,0.85,0.15,0.55,98.50%,0.9851,0.9909,86.7% (26/30),13.3%,92.58%
ViT Only (100/0),1.0,0.0,0.5,98.50%,0.9851,0.9988,86.7% (26/30),13.3%,92.58%
Ensemble 80/20,0.8,0.2,0.55,98.50%,0.9851,0.9905,86.7% (26/30),13.3%,92.58%
Ensemble 60/40,0.6,0.4,0.55,98.50%,0.9851,0.9901,86.7% (26/30),13.3%,92.58%
ViT Only (100/0),1.0,0.0,0.6,98.50%,0.9851,0.9988,86.7% (26/30),13.3%,92.58%
Ensemble 60/40,0.6,0.4,0.5,98.50%,0.9851,0.9901,86.7% (26/30),13.3%,92.58%
ViT Only (100/0),1.0,0.0,0.55,98.50%,0.9851,0.9988,86.7% (26/30),13.3%,92.58%
Ensemble 80/20,0.8,0.2,0.5,98.50%,0.9851,0.9905,86.7% (26/30),13.3%,92.58%
Ensemble 70/30,0.7,0.3,0.6,98.50%,0.9851,0.9903,86.7% (26/30),13.3%,92.58%
Ensemble 80/20,0.8,0.2,0.6,98.50%,0.9851,0.9905,86.7% (26/30),13.3%,92.58%
Ensemble 85/15,0.85,0.15,0.5,98.50%,0.9851,0.9909,86.7% (26/30),13.3%,92.58%
Ensemble 70/30,0.7,0.3,0.55,98.50%,0.9851,0.9903,86.7% (26/30),13.3%,92.58%
Ensemble 85/15,0.85,0.15,0.6,98.50%,0.9851,0.9909,86.7% (26/30),13.3%,92.58%
Ensemble 70/30,0.7,0.3,0.5,98.50%,0.9851,0.9903,86.7% (26/30),13.3%,92.58%
Ensemble 50/50,0.5,0.5,0.45,98.00%,0.9802,0.9888,86.7% (26/30),13.3%,92.33%
Ensemble 85/15,0.85,0.15,0.45,98.00%,0.9802,0.9909,86.7% (26/30),13.3%,92.33%
Ensemble 60/40,0.6,0.4,0.45,98.00%,0.9802,0.9901,86.7% (26/30),13.3%,92.33%
Ensemble 70/30,0.7,0.3,0.45,98.00%,0.9802,0.9903,86.7% (26/30),13.3%,92.33%
Ensemble 80/20,0.8,0.2,0.45,98.00%,0.9802,0.9905,86.7% (26/30),13.3%,92.33%
ViT Only (100/0),1.0,0.0,0.45,97.50%,0.9754,0.9988,86.7% (26/30),13.3%,92.08%
ViT Only (100/0),1.0,0.0,0.4,98.00%,0.9804,0.9988,80.0% (24/30),20.0%,89.00%
Ensemble 85/15,0.85,0.15,0.4,98.00%,0.9804,0.9909,80.0% (24/30),20.0%,89.00%
Ensemble 80/20,0.8,0.2,0.4,98.00%,0.9804,0.9905,76.7% (23/30),23.3%,87.33%
Ensemble 60/40,0.6,0.4,0.4,97.50%,0.9754,0.9901,76.7% (23/30),23.3%,87.08%
Ensemble 70/30,0.7,0.3,0.4,97.50%,0.9754,0.9903,76.7% (23/30),23.3%,87.08%
Ensemble 50/50,0.5,0.5,0.4,97.00%,0.9706,0.9888,76.7% (23/30),23.3%,86.83%
Secondary Only (0/100),0.0,1.0,0.6,50.50%,0.3356,0.5349,86.7% (26/30),13.3%,68.58%
Secondary Only (0/100),0.0,1.0,0.55,54.50%,0.4417,0.5349,80.0% (24/30),20.0%,67.25%
Secondary Only (0/100),0.0,1.0,0.5,56.00%,0.4884,0.5349,73.3% (22/30),26.7%,64.67%
Secondary Only (0/100),0.0,1.0,0.45,53.50%,0.5131,0.5349,63.3% (19/30),36.7%,58.42%
Secondary Only (0/100),0.0,1.0,0.4,51.00%,0.5288,0.5349,60.0% (18/30),40.0%,55.50%
