filename,ViT_Verdict,ViT_P(REAL),ViT_P(FAKE),Secondary_Verdict,Secondary_P(REAL),Secondary_P(FAKE),ViT_Correct,Secondary_Correct,Agreement
WhatsApp Image 2026-07-21 at 8.49.27 PM (1).jpeg,REAL,62.0%,38.0%,REAL,51.1%,48.9%,True,True,True
WhatsApp Image 2026-07-21 at 8.49.27 PM.jpeg,FAKE,32.5%,67.5%,FAKE,33.5%,66.5%,False,False,True
WhatsApp Image 2026-07-21 at 8.49.28 PM (1).jpeg,FAKE,1.0%,99.0%,REAL,75.9%,24.1%,False,True,False
WhatsApp Image 2026-07-21 at 8.49.28 PM.jpeg,REAL,99.2%,0.8%,REAL,82.7%,17.3%,True,True,True
WhatsApp Image 2026-07-21 at 8.49.31 PM.jpeg,REAL,59.5%,40.5%,REAL,50.6%,49.4%,True,True,True
WhatsApp Image 2026-07-21 at 8.49.43 PM.jpeg,REAL,100.0%,0.0%,REAL,79.6%,20.4%,True,True,True
WhatsApp Image 2026-07-21 at 8.54.20 PM.jpeg,REAL,97.1%,2.9%,REAL,70.6%,29.4%,True,True,True
WhatsApp Image 2026-07-21 at 8.56.03 PM.jpeg,REAL,99.9%,0.1%,REAL,76.0%,24.0%,True,True,True
WhatsApp Image 2026-07-21 at 8.56.04 PM (1).jpeg,REAL,99.7%,0.3%,FAKE,40.0%,60.0%,True,False,False
WhatsApp Image 2026-07-21 at 8.56.04 PM (2).jpeg,REAL,81.2%,18.8%,FAKE,48.2%,51.8%,True,False,False
WhatsApp Image 2026-07-21 at 8.56.04 PM.jpeg,REAL,99.7%,0.3%,FAKE,40.0%,60.0%,True,False,False
WhatsApp Image 2026-07-21 at 8.56.05 PM.jpeg,REAL,88.1%,11.9%,REAL,69.6%,30.4%,True,True,True
WhatsApp Image 2026-07-21 at 9.55.44 PM (1).jpeg,FAKE,16.8%,83.2%,REAL,77.6%,22.4%,False,True,False
WhatsApp Image 2026-07-21 at 9.55.44 PM.jpeg,REAL,96.3%,3.7%,REAL,63.9%,36.1%,True,True,True
WhatsApp Image 2026-07-21 at 9.55.52 PM.jpeg,REAL,85.0%,15.0%,REAL,64.9%,35.1%,True,True,True
WhatsApp Image 2026-07-21 at 9.55.53 PM.jpeg,FAKE,7.1%,92.9%,REAL,74.8%,25.2%,False,True,False
WhatsApp Image 2026-07-21 at 9.55.56 PM.jpeg,REAL,56.2%,43.8%,REAL,59.6%,40.4%,True,True,True
WhatsApp Image 2026-07-21 at 9.55.59 PM.jpeg,REAL,93.3%,6.7%,FAKE,28.1%,71.9%,True,False,False
WhatsApp Image 2026-07-21 at 9.56.00 PM.jpeg,REAL,97.9%,2.1%,FAKE,47.8%,52.2%,True,False,False
WhatsApp Image 2026-07-21 at 9.56.09 PM.jpeg,REAL,98.7%,1.3%,REAL,51.2%,48.8%,True,True,True
WhatsApp Image 2026-07-21 at 9.56.13 PM.jpeg,REAL,96.2%,3.8%,REAL,79.1%,20.9%,True,True,True
WhatsApp Image 2026-07-21 at 9.56.14 PM.jpeg,REAL,97.9%,2.1%,REAL,72.3%,27.7%,True,True,True
WhatsApp Image 2026-08-14 at 2.57.12 PM.jpeg,REAL,100.0%,0.0%,FAKE,40.1%,59.9%,True,False,False
WhatsApp Image 2026-08-14 at 2.57.14 PM.jpeg,REAL,99.3%,0.7%,REAL,60.5%,39.5%,True,True,True
WhatsApp Image 2026-08-14 at 2.57.15 PM.jpeg,REAL,99.0%,1.0%,REAL,78.0%,22.0%,True,True,True
WhatsApp Image 2026-08-14 at 2.57.36 PM.jpeg,REAL,95.6%,4.4%,FAKE,41.1%,58.9%,True,False,False
WhatsApp Image 2026-08-14 at 2.57.37 PM.jpeg,REAL,95.2%,4.8%,REAL,88.6%,11.4%,True,True,True
WhatsApp Image 2026-08-14 at 2.57.38 PM.jpeg,REAL,99.0%,1.0%,REAL,71.0%,29.0%,True,True,True
WhatsApp Image 2026-08-14 at 2.57.39 PM.jpeg,REAL,100.0%,0.0%,REAL,73.2%,26.8%,True,True,True
WhatsApp Image 2026-08-14 at 2.57.40 PM.jpeg,REAL,99.6%,0.4%,REAL,85.7%,14.3%,True,True,True
